总文件数: 549
字段: filename	key4	title	time_annotations

99hh1	天下黄河九十九道弯||王建宁||QQ音乐||梦回延安	天下黄河九十九道弯	A@0.00; A1@115.00; A2@177.00; A3@210.00
99hh2	天下黄河九十九道弯||阎维文||QQ音乐||中国民歌经典	天下黄河九十九道弯	A@0.00; A1@71.00; A2@138.00
99hh3	天下黄河九十九道弯||赵婷||QQ音乐||陕北民歌	天下黄河九十九道弯	A@0.00; A1@115.00; A2@177.00; A3@210.00
99hh4	天下黄河九十九道弯||薛义斌||QQ音乐||	天下黄河九十九道弯	A@0.00; A1@80.00; A2@128.00
99hh6	天下黄河九十九道弯||韩军||QQ音乐||天下黄河九十九道弯	天下黄河九十九道弯	A@0.00; A1@134.00; A2@167.00
99hh7	天下黄河九十九道弯||薛义斌/渠永梅||QQ音乐||天下黄河九十九道弯	天下黄河九十九道弯	A@0.00; A1@84.00; A2@129.00
abxh1	敖包相会||张也/阎维文||QQ音乐||老情歌	敖包相会	A@0.00; A1@67.00; A2@149.00
abxh10	敖包相会||阿木古楞/傲日其愣||QQ音乐||中国民歌大会第二季第4期	敖包相会	A@0.00; A1@66.00; A2@129.00
abxh11	敖包相会||包胡尔查/阿木古楞||QQ音乐||敖包相会	敖包相会	A@0.00; A1@95.00; A2@155.00
abxh12	敖包相会||萨日娜/腾格尔||QQ音乐||萨日娜歌曲	敖包相会	A@0.00; A1@67.00; A2@134.00
abxh13	敖包相会||于文华/云飞||QQ音乐||云在飞	敖包相会	A@0.00; A1@85.00; A2@144.00
abxh15	敖包相会||胡松华/殷秀梅||QQ音乐||世纪歌典	敖包相会	A@0.00; A1@83.00
abxh16	敖包相会||蒋大为/张佩君||QQ音乐||民歌电影歌曲	敖包相会	A@0.00; A1@91.00
abxh17	敖包相会||臧天朔/斯琴格日乐||QQ音乐||山歌好比春江水	敖包相会	A@0.00; A1@141.00
abxh22	敖包相会||张小英||QQ音乐||经典金曲	敖包相会	A@0.00; A1@67.00; A2@155.00
abxh5	敖包相会||布仁巴雅尔/娜吉勒||QQ音乐||中国民族歌曲经典2	敖包相会	A@0.00; A1@81.00
abxh7	敖包相会||张振富/耿莲凤||QQ音乐||莫负青春	敖包相会	A@0.00; A1@101.00
abxh9	敖包相会||彭丽媛||QQ音乐||晶致金色歌唱家彭丽媛	敖包相会	A@0.00; A1@100.00; A2@192.00; A3@242.00
almh1	阿拉木汗||王洛宾||QQ音乐||王洛宾歌曲精选集(演唱篇)	阿拉木汗	A@0.00; A1@38.00; A2@115.00; A3@136.00
almh11	阿拉木汗||太阳之子男声重唱组合||QQ音乐||	阿拉木汗	A@0.00; A1@22.00; A2@43.00
almh12	阿拉木汗||温可铮||QQ音乐||20世纪中华歌坛名人百集珍藏版	阿拉木汗	A@0.00; A1@45.00; A2@63.00; A3@89.00
almh13	阿拉木汗||张宏声||QQ音乐||民歌.宝典(六)	阿拉木汗	A@0.00; A1@70.00; A2@81.00; A3@102.00; A4@155.00; A5@176.00; A6@187.00
almh14	阿拉木汗||李双江||QQ音乐||美丽的姑娘	阿拉木汗	A@0.00; A1@33.00; A2@48.00; A3@73.00
almh15	阿拉木汗||阿宝||QQ音乐||中华好民歌2015花样音乐季第	阿拉木汗	A@0.00; A1@44.00; A2@59.00; A3@81.00; A4@113.00; A5@136.00
almh18	阿拉木汗||甘雅丹||QQ音乐||西部花儿	阿拉木汗	A@0.00; A1@43.00; A2@97.00; A3@129.00
almh19	阿拉木汗||佳明||QQ音乐||静夜明歌	阿拉木汗	A@0.00; A1@51.00; A2@65.00; A3@87.00; A4@139.00; A5@175.00; A6@196.00
almh2	阿拉木汗||阎维文||QQ音乐||克拉玛依之歌	阿拉木汗	A@0.00; A1@58.00; A2@91.00; A3@114.00
almh21	阿拉木汗||朱崇懋||QQ音乐||二十世纪中华歌坛名人百集珍藏版—朱崇懋	阿拉木汗	A@0.00; A1@36.00; A2@59.00; A3@87.00
almh24	阿拉木汗||刘秉义||QQ音乐||最美不过夕阳红	阿拉木汗	A@0.00; A1@38.00; A2@59.00; A3@85.00
almh25	阿拉木汗||吴坚||QQ音乐||吴坚男低音独唱专辑	阿拉木汗	A@0.00; A1@49.00; A2@83.00
almh28	阿拉木汗||黄星羱/嬉仁娜依||QQ音乐||中国新声代第二季第11期	阿拉木汗	A@0.00; A1@35.00; A2@84.00; A3@113.00
almh29	阿拉木汗||叶翠||QQ音乐||阿拉木汗	阿拉木汗	A@0.00; A1@43.00; A2@64.00; A3@89.00
almh3	阿拉木汗||中国交响乐团合唱团||QQ音乐||中国好民歌	阿拉木汗	A@0.00; A1@31.00; A2@41.00; A3@63.00
almh30	阿拉木汗||阿达人||网易云音乐||美丽新疆	阿拉木汗	A@0.00; A1@65.00; A2@102.00; A3@123.00
almh31	阿拉木汗||董克钧||网易云音乐||当代音乐馆-中国民谣系列-王洛宾歌曲精选集(演唱篇)	阿拉木汗	A@0.00; A1@38.00; A2@52.00; A3@75.00; A4@115.00
almh4	阿拉木汗||黑鸭子演唱组||QQ音乐||新疆名歌	阿拉木汗	A@0.00; A1@51.00; A2@87.00; A3@102.00; A4@144.00; A5@181.00; A6@195.00
almh8	阿拉木汗||克里木||QQ音乐||	阿拉木汗	A@0.00; A1@33.00; A2@59.00; A3@99.00; A4@115.00; A5@139.00
almh9	阿拉木汗||红月亮女子合唱团||QQ音乐||	阿拉木汗	A@0.00; A1@45.00; A2@63.00; A3@84.00; A4@149.00; A5@171.00
als1	阿里山的姑娘||宋祖英||QQ音乐||台北小巨蛋音乐会	阿里山的姑娘	A@0.00; A1@87.00; A2@148.00; A3@187.00
als10	阿里山的姑娘||刘佳||网易云音乐||一声所爱大地飞歌第七期	阿里山的姑娘	A@0.00; A1@52.00; A2@139.00; A3@171.00
als11	阿里山的姑娘||朱逢博||网易云音乐||中国好民歌	阿里山的姑娘	A@0.00; A1@48.00; A2@154.00
als12	阿里山的姑娘||邓桂萍||网易云音乐||在那遥远的地方	阿里山的姑娘	A@0.00; A1@58.00; A2@69.00; A3@119.00
als2	阿里山的姑娘||李娜||QQ音乐||信天游	阿里山的姑娘	A@0.00; A1@77.00; A2@136.00; A3@175.00
als3	阿里山的姑娘||奚秀兰||QQ音乐||	阿里山的姑娘	A@0.00; A1@71.00; A2@124.00; A3@159.00
als4	阿里山的姑娘||朱娜||QQ音乐||阿里山的姑娘	阿里山的姑娘	A@0.00; A1@42.00; A2@75.00; A3@151.00; A4@184.00
als5	阿里山的姑娘||彭丽媛||QQ音乐||彭丽媛经典金曲合集	阿里山的姑娘	A@0.00; A1@71.00; A2@103.00; A3@133.00; A4@169.00; A5@199.00
als6	阿里山的姑娘||邓丽君||网易云音乐||邓丽君第二十集	阿里山的姑娘	A@0.00; A1@58.00; A2@92.00; A3@147.00; A4@181.00
als7	阿里山的姑娘||红月亮女子合唱团||网易云音乐||红月亮5	阿里山的姑娘	A@0.00; A1@65.00; A2@104.00; A3@147.00; A4@216.00; A5@237.00
als8	阿里山的姑娘||黑鸭子||网易云音乐||伴你二十年6-民歌专辑	阿里山的姑娘	A@0.00; A1@54.00; A2@87.00; A3@143.00; A4@177.00
als9	阿里山的姑娘||任桂珍||网易云音乐||中国民歌崖畔上开花	阿里山的姑娘	A@0.00; A1@37.00
bgyl1	半个月亮爬上来||彭丽媛||网易云音乐||彭丽媛经典珍藏(七碟装)	半个月亮爬上来	A@0.00; A1@42.00; A2@65.00; A3@79.00; A4@115.00; A5@128.00
